['127.0.0.1:/test5']
# Stats from 127.0.0.1:/test5
# [n], [mean], [std.], [min], [max]
1, 136.163, 127.508, 3.383, 506.908
2, 172.633, 166.26, 3.215, 991.912
3, 218.827, 197.89, 3.088, 995.014
4, 249.778, 228.654, 3.309, 991.933
5, 277.104, 238.682, 3.418, 996.863
6, 297.077, 257.11, 3.365, 999.43
7, 303.121, 260.317, 3.325, 999.312
8, 305.001, 268.93, 3.031, 998.626
9, 318.433, 267.688, 3.512, 999.543
10, 338.599, 282.029, 3.286, 996.916
11, 341.064, 281.012, 3.359, 994.344
12, 376.02, 292.84, 3.595, 999.707
13, 363.789, 290.31, 3.337, 999.724
14, 377.497, 288.154, 3.202, 998.076
15, 374.683, 291.777, 3.352, 999.274
16, 391.437, 298.114, 3.295, 999.704
17, 390.252, 293.383, 3.304, 999.724
18, 391.477, 307.227, 3.669, 997.764
19, 399.147, 301.339, 3.485, 997.549
20, 398.532, 302.282, 3.038, 999.7
