['127.0.0.1/test']
# Stats from 127.0.0.1/test
# [n], [mean], [std.], [min], [max]
1, 13.589, 7.09, 3.529, 35.215
2, 32.179, 20.694, 3.623, 126.055
3, 51.006, 34.718, 3.744, 185.129
4, 69.384, 46.163, 3.697, 263.076
5, 86.984, 61.435, 3.699, 296.781
6, 105.241, 72.226, 3.631, 352.186
7, 123.183, 88.965, 3.696, 511.266
8, 137.973, 107.822, 3.502, 575.15
9, 158.175, 112.392, 3.558, 593.598
10, 178.235, 132.796, 3.781, 699.931
11, 194.147, 140.364, 3.562, 631.432
12, 214.591, 160.888, 3.758, 827.445
13, 230.758, 167.336, 3.644, 796.552
14, 255.167, 172.363, 3.852, 793.775
15, 267.345, 209.284, 3.746, 933.951
16, 277.686, 206.422, 3.863, 985.092
17, 304.373, 213.336, 3.771, 987.664
18, 322.574, 212.983, 3.626, 915.838
19, 343.372, 239.074, 4.062, 999.449
20, 357.211, 268.028, 3.635, 996.322
