['127.0.0.1:/test1']
# Stats from 127.0.0.1:/test1
# [n], [mean], [std.], [min], [max]
1, 196.094, 131.375, 4.093, 580.121
2, 429.423, 232.319, 4.996, 994.605
3, 565.082, 246.089, 5.073, 999.562
4, 651.388, 232.552, 11.099, 999.841
5, 718.015, 211.969, 81.771, 999.927
6, 751.716, 200.835, 4.949, 999.741
7, 799.302, 176.239, 5.952, 1000.0
8, 836.954, 154.435, 10.246, 999.971
9, 857.489, 160.445, 4.53, 999.987
