['127.0.0.1/test']
# Stats from 127.0.0.1/test
# [n], [mean], [std.], [min], [max]
1, 13.805, 6.909, 3.663, 33.624
2, 32.037, 20.639, 3.494, 129.394
3, 50.716, 34.068, 3.57, 216.432
4, 68.4, 48.784, 3.294, 353.877
5, 86.434, 62.318, 3.619, 330.042
6, 106.514, 79.728, 3.587, 423.72
7, 122.551, 91.781, 3.688, 469.301
8, 139.596, 106.858, 3.819, 587.051
9, 156.928, 116.418, 3.64, 529.473
10, 178.467, 132.337, 3.613, 563.782
11, 191.592, 139.773, 3.866, 681.625
12, 213.483, 162.565, 3.713, 786.795
13, 226.952, 171.357, 3.415, 945.668
14, 251.249, 178.717, 3.71, 873.63
15, 269.978, 186.746, 4.135, 872.323
16, 291.517, 231.238, 3.565, 979.086
17, 293.314, 211.568, 3.693, 995.94
18, 324.6, 252.549, 3.512, 993.983
19, 350.53, 237.263, 4.061, 989.68
20, 359.359, 281.829, 3.881, 999.801
